country_code,country_name,year,median_ppp_income
GB,United Kingdom,2011,60322.27536231885
GB,United Kingdom,2012,57826.03333333333
GB,United Kingdom,2013,56535.2231884058
GB,United Kingdom,2014,60416.42536231884
GB,United Kingdom,2015,63022.60652173914
GB,United Kingdom,2016,63578.15
GB,United Kingdom,2017,64741.08768115942
GB,United Kingdom,2018,65893.30434782608
GB,United Kingdom,2019,66875.15434782609
GB,United Kingdom,2020,57358.20724637681
GB,United Kingdom,2021,64199.189130434796
GB,United Kingdom,2022,67150.9768115942
GB,United Kingdom,2023,66582.56811594203
ID,Indonesia,1995,8973.721714285713
ID,Indonesia,1996,9318.639607142855
ID,Indonesia,1997,10568.1985
ID,Indonesia,1998,9341.654285714285
ID,Indonesia,1999,9547.845285714286
ID,Indonesia,2000,9886.15157142857
ID,Indonesia,2001,9933.354857142856
ID,Indonesia,2002,10193.0965
ID,Indonesia,2003,10481.156142857142
ID,Indonesia,2004,10211.663857142858
ID,Indonesia,2005,10321.303035714285
ID,Indonesia,2006,10954.180357142857
ID,Indonesia,2007,11123.857535714287
ID,Indonesia,2008,10598.234107142856
ID,Indonesia,2009,10485.162571428571
ID,Indonesia,2010,12180.257535714285
ID,Indonesia,2011,12173.77525
ID,Indonesia,2012,12899.821928571428
ID,Indonesia,2013,13706.677642857141
ID,Indonesia,2014,14159.498928571427
ID,Indonesia,2015,14319.586785714286
ID,Indonesia,2016,15822.46603571429
ID,Indonesia,2017,16270.670642857142
ID,Indonesia,2018,14441.165678571433
ID,Indonesia,2019,14739.783428571427
ID,Indonesia,2020,14516.53275
ID,Indonesia,2021,14802.538964285715
ID,Indonesia,2022,15365.982964285713
ID,Indonesia,2023,15782.897571428573
IN,India,1995,4882.334619782733
IN,India,1996,5147.504945683248
IN,India,1997,5206.834133790738
IN,India,1998,5312.073270440252
IN,India,1999,5601.398227558606
IN,India,2000,5676.738221841052
IN,India,2001,5654.836792452832
IN,India,2002,5607.1196683819335
IN,India,2003,5723.463321898228
IN,India,2004,5896.659948542024
IN,India,2005,6023.908176100628
IN,India,2006,6177.948742138366
IN,India,2007,6330.582018296171
IN,India,2008,6301.6056889651245
IN,India,2009,6337.1955117209845
IN,India,2010,6486.529731275015
IN,India,2011,6478.239794168097
IN,India,2012,6515.083104631218
IN,India,2013,6672.837993138938
IN,India,2014,6799.163407661522
IN,India,2015,7126.539022298457
IN,India,2016,7322.190766152087
IN,India,2017,7553.424642652945
IN,India,2018,8186.059119496856
IN,India,2019,8412.471297884505
IN,India,2020,8094.4929959977135
IN,India,2021,8315.522098341911
IN,India,2022,8672.635363064608
IN,India,2023,9210.635363064608
IT,Italy,1995,43365.9549382716
IT,Italy,1996,43788.218518518515
IT,Italy,1997,44117.66049382716
IT,Italy,1998,43916.4086419753
IT,Italy,1999,44949.06975308642
IT,Italy,2000,45734.649382716045
IT,Italy,2001,46373.275308641976
IT,Italy,2002,47036.974691358024
IT,Italy,2003,45419.32160493827
IT,Italy,2004,45988.206790123455
IT,Italy,2005,46593.788888888885
IT,Italy,2006,47546.24814814814
IT,Italy,2007,46954.94629629629
IT,Italy,2008,47316.93395061728
IT,Italy,2009,44194.375308641975
