country_code,country_name,year,percentile_group,wealth_share
CA,Canada,2005,top_50pct,0.9599
CA,Canada,2006,bottom_10pct,-0.0149
CA,Canada,2006,bottom_50pct,0.0402
CA,Canada,2006,top_10pct,0.5902000000000001
CA,Canada,2006,top_1pct,0.2479
CA,Canada,2006,top_50pct,0.9598
CA,Canada,2007,bottom_10pct,-0.0149
CA,Canada,2007,bottom_50pct,0.0402
CA,Canada,2007,top_10pct,0.5898
CA,Canada,2007,top_1pct,0.2473
CA,Canada,2007,top_50pct,0.9598
CA,Canada,2008,bottom_10pct,-0.015
CA,Canada,2008,bottom_50pct,0.0401
CA,Canada,2008,top_10pct,0.5899
CA,Canada,2008,top_1pct,0.2485
CA,Canada,2008,top_50pct,0.9599
CA,Canada,2009,bottom_10pct,-0.0153
CA,Canada,2009,bottom_50pct,0.0407
CA,Canada,2009,top_10pct,0.5827
CA,Canada,2009,top_1pct,0.2374
CA,Canada,2009,top_50pct,0.9593
CA,Canada,2010,bottom_10pct,-0.0152
CA,Canada,2010,bottom_50pct,0.0406
CA,Canada,2010,top_10pct,0.5846
CA,Canada,2010,top_1pct,0.2398
CA,Canada,2010,top_50pct,0.9594
CA,Canada,2011,bottom_10pct,-0.0152
CA,Canada,2011,bottom_50pct,0.0405
CA,Canada,2011,top_10pct,0.5847
CA,Canada,2011,top_1pct,0.2402
CA,Canada,2011,top_50pct,0.9595
CA,Canada,2012,bottom_10pct,-0.0153
CA,Canada,2012,bottom_50pct,0.0407
CA,Canada,2012,top_10pct,0.5826
CA,Canada,2012,top_1pct,0.2372
CA,Canada,2012,top_50pct,0.9593
CA,Canada,2013,bottom_10pct,-0.0153
CA,Canada,2013,bottom_50pct,0.0406
CA,Canada,2013,top_10pct,0.5833
CA,Canada,2013,top_1pct,0.2385
CA,Canada,2013,top_50pct,0.9594
CA,Canada,2014,bottom_10pct,-0.0153
CA,Canada,2014,bottom_50pct,0.0405
CA,Canada,2014,top_10pct,0.5844
CA,Canada,2014,top_1pct,0.2409
CA,Canada,2014,top_50pct,0.9595
CA,Canada,2015,bottom_10pct,-0.0152
CA,Canada,2015,bottom_50pct,0.0403
CA,Canada,2015,top_10pct,0.5855
CA,Canada,2015,top_1pct,0.2432
CA,Canada,2015,top_50pct,0.9597
CA,Canada,2016,bottom_10pct,-0.0155
CA,Canada,2016,bottom_50pct,0.0405
CA,Canada,2016,top_10pct,0.5815
CA,Canada,2016,top_1pct,0.2378
CA,Canada,2016,top_50pct,0.9595
CA,Canada,2017,bottom_10pct,-0.0154
CA,Canada,2017,bottom_50pct,0.0405
CA,Canada,2017,top_10pct,0.5831000000000001
CA,Canada,2017,top_1pct,0.2398
CA,Canada,2017,top_50pct,0.9595
CA,Canada,2018,bottom_10pct,-0.0154
CA,Canada,2018,bottom_50pct,0.0404
CA,Canada,2018,top_10pct,0.5834
CA,Canada,2018,top_1pct,0.2407
CA,Canada,2018,top_50pct,0.9596
CA,Canada,2019,bottom_10pct,-0.0154
CA,Canada,2019,bottom_50pct,0.0404
CA,Canada,2019,top_10pct,0.5829
CA,Canada,2019,top_1pct,0.2401
CA,Canada,2019,top_50pct,0.9596
CA,Canada,2020,bottom_10pct,-0.0153
CA,Canada,2020,bottom_50pct,0.0406
CA,Canada,2020,top_10pct,0.5830000000000001
CA,Canada,2020,top_1pct,0.2389
CA,Canada,2020,top_50pct,0.9594
CA,Canada,2021,bottom_10pct,-0.0151
