country_code,country_name,year,mean_ppp_income,median_ppp_income,mmr
MX,Mexico,2002,53233.8159118727,19366.929926560588,2.7486966759179365
MX,Mexico,2003,52797.60458996328,18178.539290085682,2.9043920277334023
MX,Mexico,2004,53365.188004895965,17331.93011015912,3.079010108263472
MX,Mexico,2005,53013.36432068544,17239.162974296207,3.0751704360431527
MX,Mexico,2006,54617.651346389226,17782.97429620563,3.071345121273838
MX,Mexico,2007,54354.41328029376,16803.741860465114,3.2346612874466802
MX,Mexico,2008,53538.128335373316,15671.274908200736,3.4163224529586267
MX,Mexico,2009,48765.55140758873,14813.471113831092,3.2919733013862733
MX,Mexico,2010,50571.42380660955,15920.88188494492,3.1764210156241925
MX,Mexico,2011,51030.5511627907,15558.68671970624,3.279875228682167
MX,Mexico,2012,51263.810709914316,15120.137698898408,3.3904327943818386
MX,Mexico,2013,50269.15275397798,14890.285924112608,3.3759696093259395
MX,Mexico,2014,50934.57380660955,15150.544247246022,3.3618973005453676
MX,Mexico,2015,50837.52637698899,15358.336046511626,3.3100933735940643
MX,Mexico,2016,50424.42864137086,15467.664626682985,3.25998978245136
MX,Mexico,2017,50306.88518971848,15242.093145654835,3.300523406397093
MX,Mexico,2018,50005.7335985312,14960.400428396571,3.342539782799833
MX,Mexico,2019,48198.18200734393,15353.002141982864,3.1393327221355456
MX,Mexico,2020,42489.35667074664,14355.578457772337,2.959780185502886
MX,Mexico,2021,44923.01646266829,16113.923133414934,2.7878385723159402
MX,Mexico,2022,46856.34283965728,17783.501101591188,2.6348210384435933
MX,Mexico,2023,48104.756364749075,18257.313157894736,2.6348212329341494
RU,Russia,1995,43226.27668587896,25707.709827089337,1.6814518670321053
RU,Russia,1996,47682.60665706052,25070.412391930833,1.9019474395406295
RU,Russia,1997,48651.18495677234,27310.42268011527,1.7814145729862794
RU,Russia,1998,45222.14040345821,26432.436138328525,1.7108578326567316
RU,Russia,1999,50741.84210374639,27903.80412103746,1.8184560744350515
RU,Russia,2000,57930.27406340057,30250.49965417867,1.9150187509513859
RU,Russia,2001,61421.645994236314,31801.761412103744,1.9313913213265994
RU,Russia,2002,63824.668731988466,34691.29429394812,1.8397892044956836
RU,Russia,2003,67456.03694524495,36391.42080691642,1.8536247129000387
RU,Russia,2004,73330.89616714697,40067.35619596541,1.830190537366452
RU,Russia,2005,77860.83291066282,44074.47942363112,1.766574079350707
RU,Russia,2006,84004.67662824207,45656.718818443806,1.8399192671354858
RU,Russia,2007,91564.08827089336,49726.91363112392,1.8413386551620547
RU,Russia,2008,96255.9366570605,50601.876829971174,1.902220682060724
RU,Russia,2009,86558.08354466858,47793.594351585,1.8110812697601182
RU,Russia,2010,90428.24933717579,55935.61193083574,1.6166489686211016
RU,Russia,2011,90389.56605187319,53203.161095100855,1.6989510433468697
RU,Russia,2012,93660.20293948127,57575.10103746397,1.6267483903942577
